sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,cnn_gan_cnn_metric_wins,cnn_gan_gan_metric_wins,cnn_gan_ties,baseline_bicubic_metric_wins,baseline_cnn_metric_wins,baseline_gan_metric_wins,baseline_metric_ties,crop_mae_bicubic,crop_mae_cnn,crop_mae_gan,crop_rmse_bicubic,crop_rmse_cnn,crop_rmse_gan,question,groups,crop_panel,full_panel,forced_reason
85,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,3,7,5,0,1.1262532223400195,1.1059564461931586,1.3813605889171594,1.6510190205271333,1.5669960937447889,1.967492790398401,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_085_crop.png,panels_full/sample_085_full.png,
86,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,8,7,0,4,5,6,0,1.0804596584777755,1.039259026057989,1.3167972988504335,1.573957999028819,1.4758192946806723,1.8757500708962738,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_086_crop.png,panels_full/sample_086_full.png,
87,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,6,2,7,0,1.0207037500424485,0.9670641840743337,1.286740099964336,1.4670490072049276,1.365114941504308,1.804863618399919,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_087_crop.png,panels_full/sample_087_full.png,
88,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,5,4,6,0,0.8300132141360518,0.8086780612570874,1.104120797168216,1.2345603359641908,1.1821674029988882,1.557057097197592,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_088_crop.png,panels_full/sample_088_full.png,
89,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,6,4,5,0,0.6736328726241482,0.6945306523393083,0.9714650380523381,1.01321356180803,1.0091293160636252,1.3458042762710267,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_089_crop.png,panels_full/sample_089_full.png,
90,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,4,11,0,3,2,10,0,0.5889077955392713,0.6311748697572329,0.8990475606746622,0.8753125776388534,0.9016560497882745,1.227494735662976,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,adjacent_cluster_90_93;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_090_crop.png,panels_full/sample_090_full.png,GAN-majority / MT-CNN adjacent control near sample 92
91,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,4,11,0,4,2,9,0,0.5585642493824707,0.6061362904390262,0.8522428020017105,0.8218841613073782,0.8611845187792828,1.153640418065561,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,adjacent_cluster_90_93;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_091_crop.png,panels_full/sample_091_full.png,GAN-majority / MT-CNN adjacent control near sample 92
92,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,4,11,0,3,2,10,0,0.6041476419610262,0.6734430187096586,0.9025223283188825,0.8934284175402082,0.9592630902676402,1.2362757457834945,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,adjacent_cluster_90_93;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;gan_three_method_metric_majority;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_092_crop.png,panels_full/sample_092_full.png,strong MT-GAN anchor
93,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,3,12,0,4,1,10,0,0.7627947196987225,0.8344680420254008,1.1000783438564394,1.1104531038334684,1.1797523613337395,1.5011730832984493,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,adjacent_cluster_90_93;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_093_crop.png,panels_full/sample_093_full.png,GAN-majority / MT-CNN adjacent control near sample 92
94,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,4,11,0,2,1,12,0,0.9418229512765538,1.0195168772508623,1.232214676871372,1.3484755340818488,1.439451743307314,1.6896202870186279,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_094_crop.png,panels_full/sample_094_full.png,
95,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,2,2,11,0,1.0460872411419404,1.0997019353680662,1.361243574473774,1.5199992477161695,1.55137245863244,1.865535289798031,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_095_crop.png,panels_full/sample_095_full.png,
96,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,2,2,11,0,1.114894208064652,1.1759051812899997,1.4266889411857846,1.638184656817434,1.6777701080693583,1.9908128471095838,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_096_crop.png,panels_full/sample_096_full.png,
97,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,3,2,10,0,1.1314554654812674,1.158820990798704,1.4671277463636943,1.6831310064099942,1.675030421319081,2.074611333248602,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_097_crop.png,panels_full/sample_097_full.png,
98,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,3,3,9,0,1.1587962673818402,1.1701502452306158,1.4796376253647032,1.7074504471232583,1.6748471394883142,2.1113819125685556,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_098_crop.png,panels_full/sample_098_full.png,
99,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,4,2,9,0,1.179282947992324,1.1975056592475448,1.4493203663779424,1.729465658816135,1.7060043591107343,2.0429056920657263,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_099_crop.png,panels_full/sample_099_full.png,
100,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,4,1,10,0,1.1521799129579449,1.1441906431976532,1.386689223399153,1.688919058227374,1.6483775887587073,1.9651909027385017,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_100_crop.png,panels_full/sample_100_full.png,
101,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,3,3,9,0,1.111726118324441,1.0983489565133642,1.3717412145454728,1.6137287885207252,1.5654208278425934,1.9482871546212222,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_101_crop.png,panels_full/sample_101_full.png,
102,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,4,2,9,0,1.048481310046045,1.0737835807036753,1.376036978114571,1.5134297264408538,1.5205574102368191,1.9314133376500309,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_102_crop.png,panels_full/sample_102_full.png,
103,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,4,2,9,0,1.0263002771051832,1.0592478109616785,1.3253715977535832,1.4842248526615782,1.515534935382264,1.8555108424165927,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_103_crop.png,panels_full/sample_103_full.png,
104,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,4,2,9,0,1.011460917411896,1.036663272503356,1.277005766221264,1.4691153893880022,1.4842607020561003,1.7977160059733215,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_104_crop.png,panels_full/sample_104_full.png,
105,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,2,3,10,0,0.9744611094065476,1.0069838998562772,1.2753471922100288,1.4160619706060835,1.44379311255248,1.79070836605968,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_105_crop.png,panels_full/sample_105_full.png,
106,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,2,3,10,0,0.966320204847143,0.9782598016038537,1.264962595870893,1.411994675931018,1.399816017545139,1.7893361727652413,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_106_crop.png,panels_full/sample_106_full.png,
107,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,2,3,10,0,0.9634649094421184,0.986886158453126,1.311552469114249,1.4268643759993318,1.432340923355983,1.8452266611908565,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_107_crop.png,panels_full/sample_107_full.png,
108,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,2,3,10,0,0.9544649172056233,1.0002193525028997,1.2754665486290468,1.4120914511139964,1.4495164577707098,1.8078735922651146,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_108_crop.png,panels_full/sample_108_full.png,
109,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,2,3,10,0,0.94020333684457,0.9776127674515009,1.277664576431198,1.3865887969047086,1.4147319227154522,1.8033687449472426,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_109_crop.png,panels_full/sample_109_full.png,
110,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,4,1,10,0,0.9126999643567251,0.9476282053464092,1.2426630445025513,1.3429599463589459,1.355390676779659,1.7415461208361371,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_110_crop.png,panels_full/sample_110_full.png,
111,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,3,2,10,0,0.8413080406592053,0.88748877031132,1.1370427616430607,1.2482534055053207,1.280867041859834,1.6170989300721303,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_111_crop.png,panels_full/sample_111_full.png,
112,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,4,2,9,0,0.8140681212417258,0.853537216580953,1.1365354932316405,1.1971040621140288,1.2379521335036268,1.5925580952965053,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_112_crop.png,panels_full/sample_112_full.png,
113,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,4,2,9,0,0.7528120217184187,0.8298528033870389,1.086795692712185,1.1109869539745292,1.2015098765379961,1.5288274321885558,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_113_crop.png,panels_full/sample_113_full.png,
114,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,5,3,7,0,0.7255931249074637,0.7992129806813318,1.014576398503268,1.0779722024187568,1.1430498492594516,1.4264000349021064,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_114_crop.png,panels_full/sample_114_full.png,
115,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,4,2,9,0,0.7393282440456096,0.7990137289921404,1.046158339272879,1.120154847324711,1.16034440484133,1.4751740383907708,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_115_crop.png,panels_full/sample_115_full.png,
116,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,4,3,8,0,0.8173565889522433,0.890277295219712,1.101696623909811,1.246934810942148,1.3052589211755956,1.563504402212763,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_116_crop.png,panels_full/sample_116_full.png,
117,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,4,3,8,0,0.9182206706074066,0.9735504150297493,1.213999548877473,1.3872605909509457,1.4234551136534448,1.7273573292687519,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_117_crop.png,panels_full/sample_117_full.png,
118,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,3,3,9,0,1.0097529007541015,1.073343279166147,1.3115492718739552,1.4916016059660668,1.5375014635182087,1.851027142300414,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_118_crop.png,panels_full/sample_118_full.png,
119,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,4,3,8,0,1.032869353936985,1.1183016957528888,1.3168310116720385,1.4978646345895348,1.570699392605136,1.8123885249423983,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_119_crop.png,panels_full/sample_119_full.png,
120,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,4,2,9,0,1.051430071493378,1.120418649724452,1.3851049123657868,1.5215033438638563,1.5451218700447706,1.9110340385071205,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_120_crop.png,panels_full/sample_120_full.png,
121,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,3,4,8,0,1.040640796656371,1.106008486468927,1.3561497394723119,1.475219995751231,1.5231410560552838,1.8439630200987762,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_121_crop.png,panels_full/sample_121_full.png,
122,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,3,3,9,0,1.016923251558328,1.0899125161592382,1.3149191788875032,1.4482708027968039,1.5152661305381956,1.7841810728603575,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_122_crop.png,panels_full/sample_122_full.png,
123,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,5,2,8,0,0.9847271964978427,1.0343477458227426,1.2979573287873063,1.3883951270686001,1.4237587046061175,1.7599187913414829,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_123_crop.png,panels_full/sample_123_full.png,
