sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,cnn_metric_wins,gan_metric_wins,overall_metric_majority,question,groups,crop_panel,full_panel,forced_reason
147,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_147_crop.png,panels_full/sample_147_full.png,
148,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_148_crop.png,panels_full/sample_148_full.png,
149,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_149_crop.png,panels_full/sample_149_full.png,
150,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_150_crop.png,panels_full/sample_150_full.png,
151,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_151_crop.png,panels_full/sample_151_full.png,
152,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_152_crop.png,panels_full/sample_152_full.png,
153,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_153_crop.png,panels_full/sample_153_full.png,
154,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,12,3,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",forced_qualitative_set;gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_154_crop.png,panels_full/sample_154_full.png,lower-confidence MT-GAN limitation case
155,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_155_crop.png,panels_full/sample_155_full.png,
156,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_156_crop.png,panels_full/sample_156_full.png,
157,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_157_crop.png,panels_full/sample_157_full.png,
158,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_158_crop.png,panels_full/sample_158_full.png,
159,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_159_crop.png,panels_full/sample_159_full.png,
160,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_160_crop.png,panels_full/sample_160_full.png,
161,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,CNN,Rare topology-CNN control neighborhood: when do both PD and MT reject GAN texture?,adjacent_cluster_161_164;candidate_structural_hallucination_signature;cnn_consensus_core;forced_qualitative_set;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_161_crop.png,panels_full/sample_161_full.png,adjacent control before rare topology-CNN samples 162-163
162,CNN,CNN,CNN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,Rare topology-CNN control neighborhood: when do both PD and MT reject GAN texture?,adjacent_cluster_161_164;cnn_consensus_core;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;topology_consensus_cnn,panels_crop/sample_162_crop.png,panels_full/sample_162_full.png,rare PD-CNN and MT-CNN topology-consensus control
163,CNN,CNN,CNN,CNN,CNN,CNN,CNN,CNN,8,7,CNN,Rare topology-CNN control neighborhood: when do both PD and MT reject GAN texture?,adjacent_cluster_161_164;cnn_consensus_core;forced_qualitative_set;topology_consensus_cnn,panels_crop/sample_163_crop.png,panels_full/sample_163_full.png,rare PD-CNN and MT-CNN topology-consensus control
164,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,10,5,CNN,Rare topology-CNN control neighborhood: when do both PD and MT reject GAN texture?,adjacent_cluster_161_164;candidate_structural_hallucination_signature;cnn_consensus_core;forced_qualitative_set;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_164_crop.png,panels_full/sample_164_full.png,adjacent control after rare topology-CNN samples 162-163
165,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_165_crop.png,panels_full/sample_165_full.png,
166,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_166_crop.png,panels_full/sample_166_full.png,
167,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_167_crop.png,panels_full/sample_167_full.png,
